Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Spider-Man: No Way Home,"$1,697,736,280","$727,636,280",42.9%,"$970,100,000",57.1%
2,The Battle at Lake Changjin,"$902,540,935","$342,411",<0.1%,"$902,198,524",100%
3,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
4,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%
5,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%
6,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
7,Venom: Let There Be Carnage,"$502,050,366","$213,550,366",42.5%,"$288,500,000",57.5%
8,Godzilla vs. Kong,"$468,216,094","$100,916,094",21.6%,"$367,300,000",78.4%
9,Shang-Chi and the Legend of the Ten Rings,"$432,233,010","$224,543,292",51.9%,"$207,689,718",48.1%
10,Eternals,"$402,027,582","$164,870,234",41%,"$237,157,348",59%
11,Dune,"$398,276,785","$107,476,785",27%,"$290,800,000",73%
12,Black Widow,"$379,631,351","$183,651,655",48.4%,"$195,979,696",51.6%
13,Free Guy,"$331,503,757","$121,626,598",36.7%,"$209,877,159",63.3%
14,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
15,Sing 2,"$243,573,860","$130,728,860",53.7%,"$112,845,000",46.3%
16,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%
17,Encanto,"$228,461,321","$93,560,179",41%,"$134,901,142",59%
18,"My Country, My Parents","$221,701,823","$166,807",<0.1%,"$221,535,016",99.9%
19,Jungle Cruise,"$220,889,446","$116,987,516",53%,"$103,901,930",47%
20,Raging Fire,"$205,846,481","$385,305",0.2%,"$205,461,176",99.8%
21,The Conjuring: The Devil Made Me Do It,"$202,031,050","$65,631,050",32.5%,"$136,400,000",67.5%
22,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
23,Ghostbusters: Afterlife,"$195,468,897","$127,468,897",65.2%,"$68,000,000",34.8%
24,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
25,The Suicide Squad,"$167,417,425","$55,817,425",33.3%,"$111,600,000",66.7%
26,Space Jam: A New Legacy,"$162,892,228","$70,592,228",43.3%,"$92,300,000",56.7%
27,Peter Rabbit 2: The Runaway,"$153,901,717","$40,501,717",26.3%,"$113,400,000",73.7%
